ID Numeric,ID String,Description,Tag,Appears in 2019-10 Edition Booklet,Index in 2019-10 Edition Booklet,Spectrum Reported,Transmission % @ 360 nm,Transmission % @ 380 nm,Transmission % @ 400 nm,Transmission % @ 420 nm,Transmission % @ 440 nm,Transmission % @ 460 nm,Transmission % @ 480 nm,Transmission % @ 500 nm,Transmission % @ 520 nm,Transmission % @ 540 nm,Transmission % @ 560 nm,Transmission % @ 580 nm,Transmission % @ 600 nm,Transmission % @ 620 nm,Transmission % @ 640 nm,Transmission % @ 660 nm,Transmission % @ 680 nm,Transmission % @ 700 nm,Transmission % @ 720 nm,Transmission % @ 740 nm
378,378,alice blue,378_alice-blue,1,194,1,47,58,67,68,61,49,36,26,16,13,8,8,8,8,8,15,51,75,81,83
381,381,baldassari blue,381_baldassari-blue,1,198,1,28,28,28,44,43,30,16,9,4,3,2,2,1,1,0,0,1,7,7,7
382,382,congo blue,382_congo-blue,1,200,1,1,1,2,7,23,24,11,2,0,0,0,0,0,0,0,0,20,63,81,86
383,383,sapphire blue,383_sapphire-blue,1,202,1,5,8,12,21,38,40,26,12,3,1,0,0,0,0,0,2,26,52,67,78
384,384,midnight blue,384_midnight-blue,1,204,1,6,9,13,25,44,40,22,7,2,0,0,0,0,0,0,1,5,14,37,67
385,385,royal blue,385_royal-blue,1,206,1,1,1,1,5,26,36,19,4,0,0,0,0,0,0,0,0,14,57,79,86
386,386,leaf green,386_leaf-green,1,208,1,30,29,12,2,1,6,39,55,59,59,52,42,30,18,12,8,7,9,25,53
388,388,gaslight green,388_gaslight-green,1,211,1,13,5,2,3,12,33,58,74,80,79,74,68,62,53,47,45,42,44,55,70
389,389,chroma green,389_chroma-green,1,213,1,4,4,3,0,0,3,45,77,72,55,32,18,11,7,7,7,5,7,6,14
393,393,emerald green,393_emerald-green,1,218,1,13,14,10,8,13,23,33,40,39,25,12,4,1,0,0,0,0,0,2,15
395,395,teal green,395_teal-green,1,221,1,19,15,8,6,11,22,34,41,37,24,11,4,1,0,0,0,0,1,4,21
397,397,pale grey,397_pale-grey,1,224,1,31,41,57,58,54,58,66,64,60,61,59,64,65,62,60,58,60,68,77,83
398,398,neutral grey,398_neutral-grey,1,226,1,23,30,35,39,41,43,43,44,43,42,41,40,40,41,41,37,28,44,48,52
2001,2001,storaro red,2001_storaro-red,1,24,1,8,16,14,5,1,0,0,0,0,0,0,1,22,59,67,68,68,70,74,79
2002,2002,storaro orange,2002_storaro-orange,1,18,1,35,31,12,2,1,3,17,16,11,14,14,38,65,67,63,60,58,61,71,80
2003,2003,storaro yellow,2003_storaro-yellow,1,19,1,47,44,20,5,1,3,9,16,28,62,82,85,85,86,86,86,86,86,86,86
2004,2004,storaro green,2004_storaro-green,1,71,1,4,2,0,0,0,0,8,24,25,19,10,4,1,0,0,0,1,6,27,57
2005,2005,storaro cyan,2005_storaro-cyan,1,62,1,20,25,25,26,24,30,47,45,37,27,16,9,3,1,1,1,2,11,37,62
2006,2006,storaro azure,2006_storaro-azure,1,53,1,35,46,60,63,58,51,44,31,15,5,1,0,0,0,0,2,29,64,77,61
2007,2007,storaro blue,2007_storaro-blue,1,54,1,23,31,40,53,53,41,27,18,11,10,6,7,5,3,2,2,4,15,42,67
2008,2008,storaro indigo,2008_storaro-indigo,1,55,1,11,18,24,33,27,16,8,4,1,1,1,2,2,1,1,0,1,8,32,60
2009,2009,storaro violet,2009_storaro-violet,1,56,1,29,44,40,26,15,11,10,4,1,1,1,1,3,6,5,14,46,73,61,63
3150,3150,industrial vapor,3150_industrial-vapor,1,13,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3152,3152,urban vapor,3152_urban-vapor,1,10,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3202,3202,full blue,3202_full-blue,1,47,1,40,49,56,66,66,59,49,41,33,32,26,27,23,18,16,14,19,38,62,76
3203,3203,three quarter blue,3203_three-quarter-blue,1,46,1,46,54,60,66,69,64,58,50,42,41,35,36,32,26,24,22,28,47,68,80
3204,3204,half blue,3204_half-blue,1,45,1,52,59,65,70,71,68,62,57,51,50,45,46,42,38,35,34,42,59,74,81
3206,3206,third blue,3206_third-blue,1,44,1,54,61,67,72,73,70,65,61,56,55,51,52,49,45,43,40,47,62,76,82
3208,3208,quarter blue,3208_quarter-blue,1,43,1,58,64,68,72,73,71,66,65,61,60,57,59,57,54,52,50,54,66,76,81
3216,3216,eighth blue,3216_eighth-blue,1,42,1,65,70,74,76,77,77,76,75,72,73,71,72,71,69,68,66,69,76,82,85
3220,3220,double blue,3220_double-blue,1,48,1,23,31,40,53,53,41,27,18,11,10,6,7,5,3,2,2,4,15,42,67
3304,3304,tough plusgreen,3304_tough-plusgreen,1,66,1,54,56,46,30,22,34,70,77,77,76,74,70,64,57,52,48,46,51,65,78
3308,3308,tough minusgreen,3308_tough-minusgreen,1,32,1,63,71,74,74,72,67,60,52,45,43,47,53,71,76,79,81,84,85,86,86
3309,3309,tough 3/4 minusgreen,3309_tough-3/4-minusgreen,1,33,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3310,3310,fluorofilter,3310_fluorofilter,1,9,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3313,3313,tough 1/2 minusgreen,3313_tough-1/2-minusgreen,1,31,1,61,69,72,74,74,71,67,62,57,56,58,63,74,79,80,82,84,84,85,85
3314,3314,tough 1/4 minusgreen,3314_tough-1/4-minusgreen,1,30,1,65,71,75,77,77,76,75,72,69,68,70,72,79,81,81,83,85,86,86,86
3315,3315,tough 1/2 plusgreen,3315_tough-1/2-plusgreen,1,65,1,60,64,60,51,45,54,76,79,79,79,77,75,71,67,64,61,60,65,74,81
3316,3316,tough 1/4 plusgreen,3316_tough-1/4-plusgreen,1,64,1,66,69,69,65,62,67,79,81,81,82,81,80,79,77,75,74,73,74,79,83
3317,3317,tough 1/8 plusgreen,3317_tough-1/8-plusgreen,1,63,1,67,72,72,70,68,72,81,82,83,83,83,82,82,82,82,82,83,84,85,85
3318,3318,tough 1/8 minusgreen,3318_tough-1/8-minusgreen,1,29,1,63,68,72,74,75,75,75,74,73,74,75,78,81,81,82,82,83,84,84,84
3405,3405,roscosun 85n.3,3405_roscosun-85n.3,1,11,1,35,37,23,8,3,9,26,26,19,23,21,39,51,44,37,32,28,32,51,71
3406,3406,roscosun 85n.6,3406_roscosun-85n.6,1,12,1,25,27,14,3,1,4,15,13,8,10,9,22,32,24,17,13,10,13,31,59
3407,3407,roscosun cto,3407_roscosun-cto,1,4,1,48,47,29,12,6,13,37,37,31,35,36,57,76,77,76,75,74,76,80,84
3408,3408,roscosun 1/2 cto,3408_roscosun-1/2-cto,1,3,1,53,56,50,34,26,34,59,59,54,58,59,72,83,84,85,85,85,86,86,86
3409,3409,roscosun 1/4 cto,3409_roscosun-1/4-cto,1,2,1,66,69,66,57,52,57,72,72,69,72,72,79,84,85,85,85,86,86,86,87
3410,3410,roscosun 1/8 cto,3410_roscosun-1/8-cto,1,1,1,69,72,71,67,65,68,76,77,76,78,78,82,84,85,85,85,85,86,86,86
3441,3441,full straw (cts),3441_full-straw-(cts),1,8,1,55,52,33,14,7,15,44,46,40,46,46,66,82,85,85,86,86,86,86,86
3442,3442,half straw (1/2 cts),3442_half-straw-(1/2-cts),1,7,1,62,62,51,34,26,35,61,63,59,63,63,74,82,84,84,84,85,85,85,85
3443,3443,quarter straw (1/4 cts),3443_quarter-straw-(1/4-cts),1,6,1,65,68,65,57,52,58,74,75,74,76,76,81,84,85,85,85,85,85,86,86
3444,3444,eighth straw (1/8 cts),3444_eighth-straw-(1/8-cts),1,5,1,68,72,71,68,65,69,76,79,76,80,80,82,84,85,85,85,85,85,86,86
4215,4215,calcolor 15 blue,4215_calcolor-15-blue,1,49,1,62,69,74,75,75,72,68,63,58,54,49,49,49,48,46,56,73,82,84,85
4230,4230,calcolor 30 blue,4230_calcolor-30-blue,1,50,1,57,66,72,73,71,66,57,50,40,37,31,30,30,29,27,39,64,79,63,65
4260,4260,calcolor 60 blue,4260_calcolor-60-blue,1,51,1,47,56,66,67,62,52,40,30,20,17,12,12,13,12,11,22,51,73,80,82
4290,4290,calcolor 90 blue,4290_calcolor-90-blue,1,52,1,39,52,62,63,54,40,26,16,8,6,3,3,3,3,3,11,48,74,81,83
4307,4307,calcolor 7.5 cyan,4307_calcolor-7.5-cyan,1,57,1,67,72,76,78,79,81,83,83,83,83,80,78,75,71,67,64,62,65,74,82
4315,4315,calcolor 15 cyan,4315_calcolor-15-cyan,1,58,1,61,68,71,73,74,76,79,79,79,78,76,71,68,63,53,49,47,51,64,76
4360,4360,calcolor 60 cyan,4360_calcolor-60-cyan,1,60,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4390,4390,calcolor 90 cyan,4390_calcolor-90-cyan,1,61,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4415,4415,calcolor 15 green,4415_calcolor-15-green,1,67,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4430,4430,calcolor 30 green,4430_calcolor-30-green,1,68,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4460,4460,calcolor 60 green,4460_calcolor-60-green,1,69,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4490,4490,calcolor 90 green,4490_calcolor-90-green,1,70,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4515,4515,calcolor 15 yellow,4515_calcolor-15-yellow,1,14,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4530,4530,calcolor 30 yellow,4530_calcolor-30-yellow,1,15,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4560,4560,calcolor 60 yellow,4560_calcolor-60-yellow,1,16,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4590,4590,calcolor 90 yellow,4590_calcolor-90-yellow,1,17,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4615,4615,calcolor 15 red,4615_calcolor-15-red,1,20,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4630,4630,calcolor 30 red,4630_calcolor-30-red,1,21,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4660,4660,calcolor 60 red,4660_calcolor-60-red,1,22,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4690,4690,calcolor 90 red,4690_calcolor-90-red,1,23,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4715,4715,calcolor 15 magenta,4715_calcolor-15-magenta,1,34,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4730,4730,calcolor 30 magenta,4730_calcolor-30-magenta,1,35,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4760,4760,calcolor 60 magenta,4760_calcolor-60-magenta,1,36,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4790,4790,calcolor 90 magenta,4790_calcolor-90-magenta,1,37,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4815,4815,calcolor 15 pink,4815_calcolor-15-pink,1,25,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4830,4830,calcolor 30 pink,4830_calcolor-30-pink,1,26,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4860,4860,calcolor 60 pink,4860_calcolor-60-pink,1,27,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4890,4890,calcolor 90 pink,4890_calcolor-90-pink,1,28,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4915,4915,calcolor 15 lavender,4915_calcolor-15-lavender,1,38,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4930,4930,calcolor 30 lavender,4930_calcolor-30-lavender,1,39,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4960,4960,calcolor 60 lavender,4960_calcolor-60-lavender,1,40,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
